"""GKA""","""AYGA""",-6.081689834590001,145.391998291
"""MAG""","""AYMD""",-5.20707988739,145.789001465
"""HGU""","""AYMH""",-5.826789855957031,144.29600524902344
"""LAE""","""AYNZ""",-6.569803,146.725977
"""POM""","""AYPY""",-9.443380355834961,147.22000122070312
"""WWK""","""AYWK""",-3.58383011818,143.669006348
"""UAK""","""BGBW""",61.1604995728,-45.4259986877
"""GOH""","""BGGH""",64.19090271,-51.6781005859
"""SFJ""","""BGSF""",67.0122218992,-50.7116031647
"""THU""","""BGTL""",76.5311965942,-68.7032012939
"""AEY""","""BIAR""",65.66000366210938,-18.07270050048828
"""EGS""","""BIEG""",65.2833023071289,-14.401399612426758
"""HFN""","""BIHN""",64.295601,-15.2272
"""HZK""","""BIHU""",65.952301,-17.426001
"""IFJ""","""BIIS""",66.05809783935547,-23.135299682617188
"""KEF""","""BIKF""",63.985000610352,-22.605600357056
"""PFJ""","""BIPA""",65.555801,-23.965
"""RKV""","""BIRK""",64.1299972534,-21.9405994415
"""SIJ""","""BISI""",66.133301,-18.9167
"""VEY""","""BIVM""",63.42430114746094,-20.278900146484375
"""YAM""","""CYAM""",46.48500061035156,-84.5093994140625
\N,"""CYAV""",50.0564002991,-97.03250122070001
\N,"""CYAW""",44.639702,-63.499401
"""YAY""","""CYAY""",51.3918991089,-56.083099365200006
"""YAZ""","""CYAZ""",49.079833,-125.775583
"""YBB""","""CYBB""",68.534401,-89.808098
"""YBC""","""CYBC""",49.13249969482422,-68.20439910888672
"""YBG""","""CYBG""",48.33060073852539,-70.99639892578125
"""YBK""","""CYBK""",64.29889678960001,-96.077796936
"""YBL""","""CYBL""",49.950801849365234,-125.27100372314453
"""YBR""","""CYBR""",49.91,-99.951897
"""YCB""","""CYCB""",69.1081008911,-105.138000488
"""YCD""","""CYCD""",49.054970224899996,-123.869862556
"""YCG""","""CYCG""",49.2963981628,-117.632003784
"""YCH""","""CYCH""",47.007801,-65.449203
"""YCL""","""CYCL""",47.990799,-66.330299
"""YCO""","""CYCO""",67.816704,-115.143997
"""YCT""","""CYCT""",52.0750007629,-111.444999695
"""YCW""","""CYCW""",49.1528015137,-121.939002991
"""YCY""","""CYCY""",70.4860992432,-68.5167007446
"""YZS""","""CYZS""",64.1932983398,-83.3593978882
"""YDA""","""CYDA""",64.04309844970703,-139.1280059814453
"""YDB""","""CYDB""",61.37110137939453,-139.04100036621094
\N,"""CYDC""",49.4681015015,-120.511001587
"""YDF""","""CYDF""",49.21080017089844,-57.39139938354492
"""YDL""","""CYDL""",58.4221992493,-130.031997681
"""YDN""","""CYDN""",51.100799560546875,-100.052001953125
"""YDQ""","""CYDQ""",55.7422981262207,-120.18299865722656
"""YEG""","""CYEG""",53.309700012200004,-113.580001831
